5-digit FIPS Code,County,State,2010 Prescribing Rate,State Abbreviation,Name,Release Year,Premature death raw value,Poor or fair health raw value,Poor physical health days raw value,Poor mental health days raw value,Low birthweight raw value,Adult smoking raw value,Adult obesity raw value,Binge drinking raw value,Motor vehicle crash deaths raw value,Chlamydia rate raw value,Teen births raw value,Uninsured adults raw value,Primary care provider rate per 100000 population,Ratio of population to primary care physicians,Preventable hospital stays raw value,Diabetes monitoring raw value,Hospice use raw value,High school graduation raw value,College degrees raw value,Unemployment raw value,Children in poverty raw value,Income inequality raw value,Inadequate social support raw value,Single-parent households raw value,Violent crime raw value,Homicides raw value,Air pollution-particulate matter days raw value,Air pollution-ozone days raw value,Access to healthy foods raw value,Liquor store density raw value
2013,"Aleutians East, AK",AK,–,AK,Aleutians East Borough,2010.0,,0.1748,3.35,4.89,,,0.282,,0.0,868.9,,0.382,37.92188093,2637.0,,,,0.75,0.048829098,0.08800000000000001,0.14,41.9,,0.155893536,,0.0,,,0.6,0.0
2016,"Aleutians West, AK",AK,–,AK,Aleutians West Census Area,2010.0,5270.5,0.222,1.46,1.81,,0.3516,0.289,0.2128,16.2,248.1,,0.306,55.33013648,1807.333333,,,,0.791666667,0.110326982,0.06,0.092,34.6,,0.08897637800000001,,5.4,,,0.428571429,2.0500205
2020,"Anchorage, AK",AK,75.1,AK,Anchorage Borough,2010.0,6981.4,0.1331,3.55,3.05,0.0633,0.198,0.259,0.1719,12.7,828.1,43.9,0.16,114.1358723,876.1487342,47.00263902,0.6619,0.120963255,0.709921737,0.289124685,0.053,0.105,39.7,0.1758,0.115331885,,7.0,,,0.387096774,1.214624074
2050,"Bethel, AK",AK,–,AK,Bethel Census Area,2010.0,12111.4,0.1726,3.38,2.86,0.0586,0.3445,0.344,0.1622,19.7,2344.4,77.6,0.121,105.9010414,944.2777778,141.9566321,,,0.34441087600000003,0.130824819,0.141,0.28600000000000003,42.5,0.4947,0.14813062,,11.2,,,0.4074074070000001,0.0
2060,"Bristol Bay, AK",AK,–,AK,Bristol Bay Borough,2010.0,,0.21600000000000005,3.2,2.41,,,0.342,0.17600000000000002,12.6,0.0,,0.213,0.0,-1042.0,,,,0.611111111,0.210997443,0.046,0.081,33.3,,0.091836735,,0.0,,,0.666666667,9.633911368
2068,"Denali, AK",AK,–,AK,Denali Borough,2010.0,,0.0852,2.46,2.23,,0.232,0.284,0.1952,40.3,54.2,,0.217,0.0,-1846.0,,,,,0.227203647,0.061,0.068,37.0,,0.064968153,,0.0,,,0.0,10.83423619
2070,"Dillingham, AK",AK,–,AK,Dillingham Census Area,2010.0,9243.4,0.1248,2.41,2.49,0.0572,0.3863,0.373,0.158,26.1,824.9,61.9,0.159,162.00891049999996,617.25,61.12123687,,,0.510416667,0.16421845599999998,0.094,0.29600000000000004,43.1,0.2817,0.138652714,,5.8,,,0.28571428600000004,2.015722637
2090,"Fairbanks North Star, AK",AK,54.8,AK,Fairbanks North Star Borough,2010.0,6430.5,0.1189,3.34,2.84,0.0558,0.2135,0.261,0.1899,15.0,789.6,39.8,0.18,91.05250341,1098.267442,55.95216448,0.7681,,0.651621106,0.27031308600000004,0.061,0.102,38.8,0.1688,0.105416933,,5.9,,,0.5,0.52740947
2100,"Haines, AK",AK,–,AK,Haines Borough,2010.0,8214.8,0.146,3.65,2.96,,0.1989,0.282,0.1953,18.8,265.8,,0.251,179.2114695,558.0,39.82584235,,,0.703703704,0.237951807,0.08900000000000001,0.171,44.1,0.1014,0.08476286599999999,,6.3,,,1.0,4.490345757
2105,"Hoonah-Angoon, AK",AK,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110,"Juneau, AK",AK,92.2,AK,Juneau Borough,2010.0,5591.7,0.1045,3.09,2.81,0.0518,0.1894,0.267,0.1826,11.1,400.2,34.1,0.147,113.3713397,882.0571428999998,58.32078136,0.6168,,0.743951613,0.360168853,0.048,0.08900000000000001,36.5,0.166,0.103872477,,0.9,,,0.25,3.2409658080000003
